Concelho,Densidade
Portugal,"111,8"
Continente,"110,1"
Norte,"168,4"
Alto Minho,"105,4"
Arcos de Valdevez,"47,6"
Caminha,117
Melgaço,"35,3"
Monção,"86,1"
Paredes de Coura,63
Ponte da Barca,"62,6"
Ponte de Lima,"131,3"
Valença,"114,7"
Viana do Castelo,"267,8"
Vila Nova de Cerveira,"81,9"
Cávado,"324,8"
Amares,"221,9"
Barcelos,"310,6"
Braga,"987,9"
Esposende,"355,8"
Terras de Bouro,"23,6"
Vila Verde,206
Ave,"286,4"
Cabeceiras de Basto,66
Fafe,"223,2"
Guimarães,"639,1"
Mondim de Basto,"41,1"
Póvoa de Lanhoso,"159,8"
Vieira do Minho,"56,1"
Vila Nova de Famalicão,"656,5"
Vizela,"961,1"
Área Metropolitana do Porto,"842,1"
Arouca,"64,4"
Espinho,"1 403,6"
Gondomar,"1 257,0"
Maia,"1 638,9"
Matosinhos,"2 777,0"
Oliveira de Azeméis,"412,8"
Paredes,"550,3"
Porto,"5 169,5"
Póvoa de Varzim,"758,4"
Santa Maria da Feira,"643,3"
Santo Tirso,505
São João da Madeira,"2 702,8"
Trofa,"530,5"
Vale de Cambra,"147,1"
Valongo,"1 270,1"
Vila do Conde,"532,3"
Vila Nova de Gaia,"1 780,8"
Alto Tâmega,"30,1"
Boticas,"16,2"
Chaves,"67,1"
Montalegre,"11,6"
Ribeira de Pena,"28,3"
Valpaços,"27,9"
Vila Pouca de Aguiar,28
Tâmega e Sousa,"229,8"
Amarante,179
Baião,"110,3"
Castelo de Paiva,"137,4"
Celorico de Basto,"106,8"
Cinfães,79
Felgueiras,"492,1"
Lousada,"488,1"
Marco de Canaveses,"258,1"
Paços de Ferreira,"800,6"
Penafiel,"331,4"
Resende,85
Douro,"47,9"
Alijó,"36,7"
Armamar,"50,1"
Carrazeda de Ansiães,"20,8"
Freixo de Espada à Cinta,14
Lamego,"152,5"
Mesão Frio,"152,3"
Moimenta da Beira,"44,5"
Murça,"29,3"
Penedono,"20,1"
Peso da Régua,"169,1"
Sabrosa,38
Santa Marta de Penaguião,"97,6"
São João da Pesqueira,"27,3"
Sernancelhe,"23,8"
Tabuaço,"45,4"
Tarouca,"77,5"
Torre de Moncorvo,"14,8"
Vila Nova de Foz Côa,"16,8"
Vila Real,"132,2"
Terras de Trás-os-Montes,"19,7"
Alfândega da Fé,"14,4"
Bragança,"28,8"
Macedo de Cavaleiros,"21,1"
Miranda do Douro,"14,4"
Mirandela,"33,6"
Mogadouro,"11,4"
Vila Flor,"23,2"
Vimioso,"8,7"
Vinhais,"11,7"
Centro,"79,6"
Oeste,"161,3"
Alcobaça,"133,8"
Alenquer,"142,3"
Arruda dos Vinhos,"188,6"
Bombarral,"138,1"
Cadaval,"78,8"
Caldas da Rainha,"201,6"
Lourinhã,"174,1"
Nazaré,"174,1"
Óbidos,"82,3"
Peniche,"346,2"
Sobral de Monte Agraço,"197,6"
Torres Vedras,"193,3"
Região de Aveiro,"214,9"
Águeda,139
Albergaria-a-Velha,"153,3"
Anadia,"128,4"
Aveiro,"390,9"
Estarreja,"242,6"
Ílhavo,"522,7"
Murtosa,"141,5"
Oliveira do Bairro,"271,9"
Ovar,"368,9"
Sever do Vouga,"90,1"
Vagos,"138,5"
Região de Coimbra,"101,4"
Arganil,34
Cantanhede,"91,1"
Coimbra,"420,6"
Condeixa-a-Nova,126
Figueira da Foz,"158,2"
Góis,"14,9"
Lousã,"124,3"
Mealhada,"181,6"
Mira,"96,9"
Miranda do Corvo,"101,6"
Montemor-o-Velho,"111,7"
Mortágua,"36,1"
Oliveira do Hospital,"84,3"
Pampilhosa da Serra,"10,4"
Penacova,"65,5"
Penela,"41,2"
Soure,"67,2"
Tábua,"58,2"
Vila Nova de Poiares,83
Região de Leiria,"117,5"
Alvaiázere,"42,3"
Ansião,"70,7"
Batalha,"153,1"
Castanheira de Pêra,41
Figueiró dos Vinhos,"33,2"
Leiria,"222,1"
Marinha Grande,"205,9"
Pedrógão Grande,"27,3"
Pombal,"84,6"
Porto de Mós,"90,3"
Viseu Dão Lafões,"79,4"
Aguiar da Beira,"23,9"
Carregal do Sal,81
Castro Daire,"37,8"
Mangualde,"86,9"
Nelas,"106,2"
Oliveira de Frades,"68,8"
Penalva do Castelo,55
Santa Comba Dão,"96,1"
São Pedro do Sul,"45,5"
Sátão,"58,6"
Tondela,"73,6"
Vila Nova de Paiva,"27,5"
Viseu,193
Vouzela,"51,3"
Beira Baixa,"17,9"
Castelo Branco,"36,9"
Idanha-a-Nova,6
Oleiros,11
Penamacor,"8,9"
Proença-a-Nova,"19,3"
Vila Velha de Ródão,"9,8"
Médio Tejo,"70,6"
Abrantes,"50,8"
Alcanena,"102,6"
Constância,"49,6"
Entroncamento,"1 514,7"
Ferreira do Zêzere,"42,7"
Mação,"16,5"
Ourém,"107,4"
Sardoal,"41,2"
Sertã,"33,5"
Tomar,"107,6"
Torres Novas,"131,2"
Vila de Rei,"17,5"
Vila Nova da Barquinha,"147,7"
Beiras e Serra da Estrela,"34,7"
Almeida,12
Belmonte,"54,8"
Celorico da Beira,29
Covilhã,"86,7"
Figueira de Castelo Rodrigo,"11,5"
Fornos de Algodres,"35,9"
Fundão,"39,1"
Gouveia,43
Guarda,56
Manteigas,"25,7"
Mêda,"16,6"
Pinhel,"18,3"
Sabugal,"13,7"
Seia,"52,9"
Trancoso,"25,5"
Área Metropolitana de Lisboa,"935,7"
Área Metropolitana de Lisboa,"935,7"
Alcochete,"148,2"
Almada,"2 418,7"
Amadora,"7 492,4"
Barreiro,"2 087,9"
Cascais,"2 165,2"
Lisboa,"5 047,1"
Loures,"1 241,1"
Mafra,"283,2"
Moita,"1 172,0"
Montijo,"159,9"
Odivelas,"5 881,0"
Oeiras,"3 797,9"
Palmela,"137,9"
Seixal,"1 729,9"
Sesimbra,"260,4"
Setúbal,"507,9"
Sintra,"1 202,7"
Vila Franca de Xira,"442,6"
Alentejo,"22,7"
Alentejo Litoral,"17,8"
Alcácer do Sal,8
Grândola,"17,8"
Odemira,"14,5"
Santiago do Cacém,"27,4"
Sines,"67,2"
Baixo Alentejo,"13,9"
Aljustrel,"18,5"
Almodôvar,"8,9"
Alvito,"9,3"
Barrancos,10
Beja,"29,7"
Castro Verde,"12,4"
Cuba,"27,3"
Ferreira do Alentejo,"12,3"
Mértola,5
Moura,"14,7"
Ourique,"7,3"
Serpa,"13,4"
Vidigueira,"17,7"
Lezíria do Tejo,"56,1"
Almeirim,"103,2"
Alpiarça,"75,6"
Azambuja,"84,7"
Benavente,"57,5"
Cartaxo,"151,3"
Chamusca,"12,7"
Coruche,"16,4"
Golegã,"65,3"
Rio Maior,"75,5"
Salvaterra de Magos,"88,4"
Santarém,"105,4"
Alto Alentejo,"17,8"
Alter do Chão,9
Arronches,"9,4"
Avis,"7,2"
Campo Maior,"32,8"
Castelo de Vide,"11,5"
Crato,"8,3"
Elvas,"33,7"
Fronteira,"12,3"
Gavião,12
Marvão,"20,5"
Monforte,"7,3"
Nisa,"11,2"
Ponte de Sor,"18,4"
Portalegre,"51,3"
Sousel,"16,5"
Alentejo Central,"21,1"
Alandroal,"9,7"
Arraiolos,"10,3"
Borba,"47,9"
Estremoz,"25,6"
Évora,"40,8"
Montemor-o-Novo,"13,1"
Mora,"9,9"
Mourão,9
Portel,10
Redondo,"17,8"
Reguengos de Monsaraz,"22,1"
Vendas Novas,"51,5"
Viana do Alentejo,"13,4"
Vila Viçosa,"40,5"
Algarve,"88,4"
Algarve,"88,4"
Albufeira,"288,9"
Alcoutim,"4,2"
Aljezur,"17,3"
Castro Marim,"21,3"
Faro,"301,5"
Lagoa,"258,3"
Lagos,"144,2"
Loulé,"90,8"
Monchique,"13,6"
Olhão,345
Portimão,"304,6"
São Brás de Alportel,"68,7"
Silves,"53,6"
Tavira,"41,6"
Vila do Bispo,29
Vila Real de Santo António,"310,9"
Região Autónoma dos Açores,"105,6"
Região Autónoma dos Açores,"105,6"
Região Autónoma dos Açores,"105,6"
Angra do Heroísmo,144
Calheta,26
Corvo,"26,9"
Horta,"85,3"
Lagoa,"323,1"
Lajes das Flores,"21,3"
Lajes do Pico,"29,6"
Madalena,"40,4"
Nordeste,"48,8"
Ponta Delgada,"293,4"
Povoação,"57,1"
Ribeira Grande,"181,9"
Santa Cruz da Graciosa,"70,9"
Santa Cruz das Flores,31
São Roque do Pico,"23,1"
Velas,"44,4"
Vila da Praia da Vitória,"133,5"
Vila do Porto,"58,3"
Vila Franca do Campo,"144,4"
Região Autónoma da Madeira,318
Região Autónoma da Madeira,318
Região Autónoma da Madeira,318
Calheta,"98,2"
Câmara de Lobos,"652,6"
Funchal,"1 376,2"
Machico,"299,7"
Ponta do Sol,"185,1"
Porto Moniz,"28,8"
Porto Santo,120
Ribeira Brava,"190,2"
Santa Cruz,"540,2"
Santana,72
São Vicente,"65,4"